"","B","F","AMF","P","BN","FN","OPN","HN"
"NPK5_1",0.729706183668475,0.432975295311164,0.839667923537115,0.726253963771986,0.881351804127343,0.441960503946713,0.625691107258308,1.305859719818
"NPK5_2",0.449541619719849,0.681240946292337,1.03343744435337,0.643814324641112,0.771182828611425,0.662940755920069,0.782113884072885,1.06843067985109
"NPK5_3",0.469249013001406,0.709046699202228,0.532866182244707,0.738031055076397,0.771182828611425,0.662940755920069,0.469268330443731,1.18714519983454
"NPK5_4",0.508131167313668,0.509441115813365,0.645091029717456,0.773362328989628,0.550844877579589,0.883921007893425,0.469268330443731,1.305859719818
"NPK5_5",0.510794328567932,0.421058544064068,0.55708737234674,0.765510934786688,0.661013853095507,0.883921007893425,0.782113884072885,1.06843067985109
"NPK5_6",0.509729064066226,0.5590942460096,0.540939912278718,0.796916511598449,0.771182828611425,0.662940755920069,0.782113884072885,1.06843067985109
"NPKM5_1",1.05035079868192,0.86197834020663,1.56630362659808,1.11489797681754,1.2118587306751,1.10490125986678,1.25138221451662,0.712287119900726
"NPKM5_2",1.09455927550271,0.583920811107717,1.29825578946892,1.13845215942636,1.10168975515918,1.32588151184014,1.25138221451662,0.83100163988418
"NPKM5_3",1.23304366072447,0.789484770120128,1.22720696516963,1.15415494783224,1.10168975515918,1.10490125986678,1.25138221451662,0.83100163988418
"NPKM5_4",1.20002046117159,1.13308443107807,1.21025213209821,1.0795667029043,1.10168975515918,1.10490125986678,0.938536660887462,0.593572599917271
"NPKM5_5",1.26553422802649,0.901700844363618,1.29179680544171,1.03638403478813,1.2118587306751,1.32588151184014,0.938536660887462,0.712287119900726
"NPKM5_6",1.29056794381658,1.08343130088184,0.944626413979254,1.18948622174547,1.2118587306751,1.10490125986678,1.56422776814577,0.712287119900726
"NPK7_1",0.516653283327314,0.929506597273509,0.410952858731146,0.851876271019032,0.991520779643261,0.220980251973356,0.625691107258308,1.06843067985109
"NPK7_2",0.499076419049168,0.905673094779316,0.895376660771789,0.879356150729324,0.661013853095507,0.662940755920069,0.782113884072885,1.18714519983454
"NPK7_3",0.568318611660045,1.04370879672485,0.4521288819046,0.879356150729324,0.771182828611425,0.662940755920069,0.625691107258308,1.06843067985109
"NPK7_4",0.549676482880194,1.02285448204243,1.17069085493155,0.887207544932264,0.550844877579589,0.662940755920069,0.312845553629154,1.42457423980145
"NPK7_5",0.576840727673692,1.07250761223866,1.18683831499958,0.863653362323443,0.661013853095507,1.10490125986678,0.782113884072885,1.18714519983454
"NPK7_6",0.639691333274334,1.00497935517179,1.04958490442139,0.867579059424913,0.771182828611425,0.662940755920069,0.782113884072885,0.949716159867634
"NPKM7_1",1.29269847281999,1.20955025158027,0.847741653571125,1.08349240000577,1.2118587306751,1.10490125986678,1.25138221451662,0.949716159867634
"NPKM7_2",1.36194066543087,1.33368307707086,1.16261712489754,1.23266888986164,1.10168975515918,1.32588151184014,1.40780499133119,0.712287119900726
"NPKM7_3",1.41413862601445,1.30289813634919,0.799299273367061,1.22874319276017,1.10168975515918,1.10490125986678,1.25138221451662,0.712287119900726
"NPKM7_4",1.29429636957255,1.29296751030995,0.823520463469093,0.969647184063138,1.2118587306751,1.32588151184014,1.09495943770204,0.712287119900726
"NPKM7_5",1.35182065266466,1.22444619063914,0.831594193503104,1.16985773623812,1.2118587306751,1.32588151184014,1.09495943770204,0.83100163988418
"NPKM7_6",1.35128802041381,1.424051774028,1.0576586344554,1.04816112609254,1.2118587306751,0.883921007893425,1.09495943770204,0.593572599917271
