,HN1,HN2,HN3,HN4,HN5,HN6,HN7,HN8,HN9,HN12,,行标签,求和项:HN12
F374,0.008563333,0.002591379,1,0.000914801,8.80236E-05,1,0.000366819,0.009591102,1,1,,,
F376,1,1,1,1,1,1,0.01070811,1,0.001962286,1,,,
F377,1,1,1,1,0.003222325,1,0.001588848,1,1,1,,,
F382,1,0.011730636,1,0.001407941,7.19683E-05,1,0.000778778,1,1,1,,,
F387,0.003950449,1,1,0.000785442,0.00017904,1,4.8286E-05,1,1,1,,,
F388,1,1,1,0.01259303,0.000631345,0.003992433,0.004016722,1,1,1,,,
F391,1,1,1,1,1,0.00347566,1,1,1,1,,,
F395,1,0.004077534,1,0.005986228,4.96577E-05,1,0.003128506,1,1,1,,,
F396,1,1,1,1,1,1,1,1,0.004653077,1,,,
F399,0.01259303,1,1,1,0.007290796,0.005538938,0.001588848,0.011374199,6.19784E-05,1,,,
F402,1,1,1,1,0.001166845,0.007070796,0.001588848,1,0.004077534,1,,,
F404,0.001143105,1,1,0.01259303,0.005653031,0.008900465,0.00013218,1,0.010567247,1,,,
F408,0.000247625,0.006269748,1,0.002056281,0.000447132,0.01137845,0.000912841,1,0.003116726,1,,,
F419,0.004077534,0.008500357,1,1,0.00032491,0.011430599,0.000951504,1,1,1,,,
F422,0.004508435,1,1,0.001143105,6.80903E-05,1,1.33593E-05,1,1,1,,,
F424,1,0.00344645,1,1,0.006432813,1,0.005253138,1,1,1,,,
F458,1,0.00920178,1,1,0.001166845,1,0.009591102,1,1,1,,,
F459,0.000642826,0.011374199,1,1,0.007290796,0.001747437,0.001588848,1,1,1,,,
多少个1,46,54,89,43,15,54,15,81,60,87,,,
MIN,3.12689E-05,0.000785442,0.005124082,0.000398308,8.36298E-06,5.69411E-06,9.21833E-06,0.002223135,6.19784E-05,0.000627337,,,
