source	target	weight	correlation
P49	HN4	0.669145084	-0.669145084
P49	HN5	0.839654987	-0.839654987
P49	HN6	0.836956522	-0.836956522
P49	HN7	0.771349011	-0.771349011
P50	HN1	0.727272727	-0.727272727
P50	HN7	0.8048763	-0.8048763
P55	HN4	0.678321678	-0.678321678
P56	HN6	0.695276643	-0.695276643
P57	HN1	0.742558056	-0.742558056
P57	HN6	0.673883516	-0.673883516
P63	HN1	0.797202797	-0.797202797
P63	HN2	0.846153846	-0.846153846
P63	HN4	0.678321678	-0.678321678
P63	HN5	0.780057126	-0.780057126
P63	HN6	0.676263649	-0.676263649
P63	HN7	0.710611508	-0.710611508
P64	HN1	0.706293706	-0.706293706
P64	HN2	0.839160839	-0.839160839
P64	HN4	0.748251748	-0.748251748
P64	HN5	0.794986449	-0.794986449
P64	HN7	0.746867197	-0.746867197
P64	HN8	0.706293706	-0.706293706
P64	HN9	0.711285243	-0.711285243
P68	HN5	0.690481188	-0.690481188
P68	HN7	0.725113784	-0.725113784
P69	HN6	0.705973207	-0.705973207
P69	HN7	0.748176343	-0.748176343
P71	HN1	0.772592465	-0.772592465
P71	HN2	0.772592465	-0.772592465
P71	HN4	0.664354873	-0.664354873
P71	HN5	0.860557769	-0.860557769
P71	HN6	0.847253675	-0.847253675
P71	HN7	0.847552161	-0.847552161
P71	HN9	0.747982886	-0.747982886
P72	HN1	0.760071218	-0.760071218
P72	HN2	0.661997513	-0.661997513
P72	HN5	0.904807257	-0.904807257
P72	HN7	0.897085227	-0.897085227
P74	HN2	0.706293706	-0.706293706
P78	HN6	0.786601402	-0.786601402
P80	HN1	0.772592465	-0.772592465
P80	HN2	0.772592465	-0.772592465
P80	HN4	0.739001488	-0.739001488
P80	HN5	0.860557769	-0.860557769
P80	HN6	0.710477297	-0.710477297
P80	HN7	0.847552161	-0.847552161
P81	HN1	0.793719967	-0.793719967
P81	HN2	0.82931279	-0.82931279
P81	HN4	0.818634943	-0.818634943
P81	HN5	0.839654987	-0.839654987
P81	HN6	0.77173913	-0.77173913
P81	HN7	0.727061029	-0.727061029
P82	HN1	0.804195804	-0.804195804
P82	HN2	0.902097902	-0.902097902
P82	HN4	0.755244755	-0.755244755
P82	HN5	0.787521788	-0.787521788
P82	HN7	0.746867197	-0.746867197
P82	HN8	0.734265734	-0.734265734
P82	HN9	0.809879237	-0.809879237
P84	HN1	0.869633064	-0.869633064
P84	HN2	0.89949171	-0.89949171
P84	HN4	0.873365395	-0.873365395
P84	HN5	0.860557769	-0.860557769
P84	HN6	0.672483859	-0.672483859
P84	HN7	0.77789034	-0.77789034
P84	HN8	0.675551865	-0.675551865
P84	HN9	0.702878391	-0.702878391
P87	HN2	0.699300699	-0.699300699
P87	HN4	0.706293706	-0.706293706
P90	HN1	0.811188811	-0.811188811
P90	HN2	0.685314685	-0.685314685
P90	HN4	0.734265734	-0.734265734
P90	HN5	0.757663142	-0.757663142
P90	HN6	0.839990637	-0.839990637
P90	HN7	0.833880851	-0.833880851
P90	HN9	0.683115531	-0.683115531
P90	HN12	0.70829719	-0.70829719
P91	HN1	0.706293706	-0.706293706
P91	HN2	0.776223776	-0.776223776
P91	HN4	0.783216783	-0.783216783
P91	HN8	0.846153846	-0.846153846
P94	HN1	0.854227767	-0.854227767
P94	HN2	0.743890014	-0.743890014
P94	HN4	0.743890014	-0.743890014
P94	HN5	0.835855643	-0.835855643
P94	HN6	0.786231884	-0.786231884
P94	HN7	0.856234308	-0.856234308
P94	HN9	0.802913801	-0.802913801
P96	HN1	0.817380434	-0.817380434
P96	HN2	0.772592465	-0.772592465
P96	HN4	0.739001488	-0.739001488
P96	HN5	0.860557769	-0.860557769
P96	HN6	0.691480578	-0.691480578
P96	HN7	0.893993376	-0.893993376
P99	HN1	0.767076483	-0.767076483
P99	HN2	0.676008042	-0.676008042
P99	HN4	0.858144924	-0.858144924
P99	HN5	0.882374019	-0.882374019
P99	HN7	0.962459859	-0.962459859
P99	HN9	0.737223723	-0.737223723
P102	HN1	0.735552792	-0.735552792
P102	HN2	0.669002777	-0.669002777
P102	HN4	0.665500145	-0.665500145
P102	HN5	0.833768671	-0.833768671
P102	HN7	0.882557531	-0.882557531
P102	HN9	0.663148612	-0.663148612
P106	HN1	0.780057126	-0.780057126
P106	HN2	0.809915772	-0.809915772
P106	HN4	0.850971411	-0.850971411
P106	HN5	0.860557769	-0.860557769
P106	HN7	0.824331554	-0.824331554
P106	HN8	0.675551865	-0.675551865
P106	HN9	0.717913223	-0.717913223
P107	HN1	0.902097902	-0.902097902
P107	HN2	0.664335664	-0.664335664
P107	HN4	0.755244755	-0.755244755
P107	HN5	0.690481188	-0.690481188
P107	HN7	0.754118335	-0.754118335
P107	HN9	0.704242815	-0.704242815
P109	HN1	0.804195804	-0.804195804
P109	HN2	0.727272727	-0.727272727
P109	HN4	0.671328671	-0.671328671
P109	HN5	0.824845095	-0.824845095
P109	HN6	0.790160684	-0.790160684
P109	HN7	0.761369473	-0.761369473
P110	HN1	0.804195804	-0.804195804
P110	HN2	0.692307692	-0.692307692
P110	HN5	0.802451111	-0.802451111
P110	HN6	0.854227767	-0.854227767
P110	HN7	0.797625162	-0.797625162
P110	HN12	0.683382213	-0.683382213
P119	HN1	0.811188811	-0.811188811
P119	HN2	0.79020979	-0.79020979
P119	HN4	0.874125874	-0.874125874
P119	HN5	0.817380434	-0.817380434
P119	HN6	0.804397814	-0.804397814
P119	HN7	0.775871749	-0.775871749
P119	HN8	0.685314685	-0.685314685
P119	HN9	0.690157959	-0.690157959
P119	HN12	0.815075661	-0.815075661
P120	HN1	0.804195804	-0.804195804
P120	HN2	0.664335664	-0.664335664
P120	HN4	0.839160839	-0.839160839
P120	HN5	0.802451111	-0.802451111
P120	HN6	0.679822931	-0.679822931
P120	HN7	0.870136541	-0.870136541
P120	HN8	0.685314685	-0.685314685
P125	HN1	0.720339834	-0.720339834
P125	HN2	0.780057126	-0.780057126
P125	HN4	0.806183442	-0.806183442
P125	HN5	0.860557769	-0.860557769
P125	HN6	0.672483859	-0.672483859
P125	HN7	0.870772769	-0.870772769
P125	HN8	0.75019848	-0.75019848
P125	HN9	0.77805255	-0.77805255
P126	HN1	0.748251748	-0.748251748
P126	HN2	0.72027972	-0.72027972
P126	HN4	0.755244755	-0.755244755
P126	HN5	0.869633064	-0.869633064
P126	HN7	0.877387678	-0.877387678
P128	HN1	0.674355819	-0.674355819
P128	HN4	0.710611508	-0.710611508
P128	HN5	0.870772769	-0.870772769
P128	HN6	0.693845043	-0.693845043
P128	HN7	0.879699248	-0.879699248
P128	HN9	0.766750243	-0.766750243
P131	HN1	0.839160839	-0.839160839
P131	HN4	0.713286713	-0.713286713
P131	HN5	0.787521788	-0.787521788
P131	HN6	0.790160684	-0.790160684
P131	HN7	0.920894505	-0.920894505
P131	HN9	0.809879237	-0.809879237
P131	HN12	0.701178625	-0.701178625
P132	HN1	0.877097726	-0.877097726
P132	HN2	0.84723908	-0.84723908
P132	HN4	0.776324796	-0.776324796
P132	HN5	0.860557769	-0.860557769
P132	HN6	0.748470735	-0.748470735
P132	HN7	0.870772769	-0.870772769
P132	HN9	0.702878391	-0.702878391
P132	HN12	0.685781562	-0.685781562
P135	HN1	0.832167832	-0.832167832
P135	HN2	0.804195804	-0.804195804
P135	HN5	0.765127803	-0.765127803
P135	HN7	0.732364922	-0.732364922
P135	HN9	0.669030674	-0.669030674
P136	HN1	0.832167832	-0.832167832
P136	HN2	0.762237762	-0.762237762
P136	HN4	0.671328671	-0.671328671
P136	HN5	0.787521788	-0.787521788
P136	HN6	0.839990637	-0.839990637
P136	HN7	0.761369473	-0.761369473
P136	HN9	0.732412528	-0.732412528
P137	HN7	0.819378576	-0.819378576
P137	HN10	0.775923555	-0.775923555
P141	HN1	0.775871749	-0.775871749
P141	HN2	0.790374024	-0.790374024
P141	HN5	0.847552161	-0.847552161
P141	HN6	0.738133024	-0.738133024
P141	HN7	0.766917293	-0.766917293
P141	HN9	0.701028794	-0.701028794
P144	HN1	0.688858095	-0.688858095
P144	HN2	0.746867197	-0.746867197
P144	HN5	0.847552161	-0.847552161
P144	HN7	0.857142857	-0.857142857
P144	HN9	0.679121644	-0.679121644
P145	HN1	0.713286713	-0.713286713
P145	HN2	0.734265734	-0.734265734
P145	HN4	0.867132867	-0.867132867
P145	HN5	0.892027049	-0.892027049
P145	HN6	0.711856472	-0.711856472
P145	HN7	0.812127438	-0.812127438
P145	HN9	0.683115531	-0.683115531
P145	HN12	0.679822931	-0.679822931
P148	HN1	0.859176235	-0.859176235
P148	HN2	0.823964094	-0.823964094
P148	HN4	0.767624669	-0.767624669
P148	HN5	0.860744126	-0.860744126
P148	HN6	0.709718449	-0.709718449
P148	HN7	0.832471692	-0.832471692
P152	HN1	0.797202797	-0.797202797
P152	HN2	0.748251748	-0.748251748
P152	HN4	0.895104895	-0.895104895
P152	HN5	0.757663142	-0.757663142
P152	HN7	0.819378576	-0.819378576
P152	HN8	0.825174825	-0.825174825
P152	HN9	0.746497384	-0.746497384
P152	HN12	0.733212166	-0.733212166
P157	HN1	0.748251748	-0.748251748
P157	HN5	0.720339834	-0.720339834
P157	HN6	0.765245708	-0.765245708
P157	HN7	0.746867197	-0.746867197
P158	HN1	0.776223776	-0.776223776
P158	HN2	0.664335664	-0.664335664
P158	HN4	0.678321678	-0.678321678
P158	HN5	0.877097726	-0.877097726
P158	HN6	0.715415755	-0.715415755
P158	HN7	0.920894505	-0.920894505
P166	HN1	0.671328671	-0.671328671
P166	HN6	0.825753508	-0.825753508
P166	HN12	0.726093602	-0.726093602
P167	HN1	0.692307692	-0.692307692
P167	HN2	0.846153846	-0.846153846
P167	HN4	0.734265734	-0.734265734
P167	HN5	0.817380434	-0.817380434
P167	HN6	0.736771449	-0.736771449
P170	HN1	0.79020979	-0.79020979
P170	HN2	0.692307692	-0.692307692
P170	HN5	0.862168403	-0.862168403
P170	HN6	0.747449296	-0.747449296
P170	HN7	0.855634265	-0.855634265
P171	HN1	0.839160839	-0.839160839
P171	HN4	0.671328671	-0.671328671
P171	HN5	0.802451111	-0.802451111
P171	HN6	0.800838531	-0.800838531
P171	HN7	0.913643368	-0.913643368
