genus	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
P217	1.242106036	0	4.861947423	2.620098399	0	1.712586283	2.692539286	11.19162138	11.77092818	8.139961815	3.979585842	1.664194449
P218	0	1.575635189	0.81032457	1.746732266	0	2.568879424	2.692539286	9.592818329	6.726244676	4.883977089	5.969378763	4.992583346
P220	13.6631664	49.63250844	38.08525481	41.04820825	37.41680129	77.06638273	556.0093626	540.3954325	264.0051035	1019.123219	479.540094	700.6258628
P221	0	0	0	0	0	0	18.847775	17.5868336	18.49717286	11.39594654	29.84689382	16.64194449
P222	132.2842928	192.227493	124.7899838	185.1536202	232.634895	167.8334557	41.73435894	55.95810692	40.35746806	42.32780144	37.8060655	33.28388897
P223	0	4.726905566	0.81032457	0	0.813408724	4.281465707	2.692539286	0	1.681561169	3.255984726	3.979585842	1.664194449
P224	0.621053018	0.787817594	0	0	2.440226171	11.13181084	12.11642679	9.592818329	3.363122338	8.139961815	9.948964606	8.320972243
P225	6.210530181	3.939087972	7.292921134	5.240196798	8.134087237	11.13181084	191.1702893	177.4671391	122.7539653	128.6113967	129.3365399	166.4194449
P227	283.8212293	342.7006535	309.5439859	651.5311353	513.2609047	432.4280364	876.4215377	671.497283	723.0713027	841.6720517	1207.804303	928.6205023
P228	445.295014	658.6155089	911.6151417	496.0719636	231.8214863	715.0047731	226.1733	869.7488618	474.2002497	205.1270377	270.6118373	241.308195
P230	18.63159054	9.453811132	2.430973711	5.240196798	17.89499192	13.70069026	8.077617859	1.598803055	1.681561169	1.627992363	1.989792921	1.664194449
P231	127.3158687	152.8366133	92.37700103	161.5727346	152.1074313	158.4142312	1043.358973	856.9584374	1049.294169	1155.874578	1540.099721	1133.316419
P233	0	0	0	0.873366133	0	0	14.80896607	22.38324277	11.77092818	21.16390072	31.83668674	24.96291673
P234	1.242106036	0	0	0	0.813408724	0.856293141	1.346269643	7.994015274	3.363122338	6.511969452	1.989792921	8.320972243
P236	0	0.787817594	0.81032457	0.873366133	0.813408724	0.856293141	2.692539286	11.19162138	15.13405052	0	0	0
P237	0	3.151270377	6.482596563	17.46732266	8.947495961	2.568879424	0	0	0	0	1.989792921	0
P240	0	3.151270377	0	0	0.813408724	0.856293141	6.731348216	6.395212219	0	4.883977089	1.989792921	1.664194449
P241	18.63159054	15.75635189	24.30973711	21.83415333	30.9095315	45.3835365	6.731348216	4.796409164	0	3.255984726	3.979585842	4.992583346
P242	6.210530181	5.514723161	11.34454399	5.240196798	1.626817447	10.2755177	1.346269643	6.395212219	3.363122338	3.255984726	7.959171685	3.328388897
P243	7.452636217	6.302540755	1.620649141	6.113562931	5.693861066	6.850345131	8.077617859	15.98803055	23.54185637	24.41988545	7.959171685	19.97033338
P244	61.48424879	74.84267146	84.27375532	64.62909385	58.56542811	147.2824203	114.4329197	306.9701865	221.9660743	244.1988545	240.7649435	920.29953
P245	134.1474519	148.1097077	99.66992216	164.192833	170.0024233	151.563886	5.385078572	57.55690997	11.77092818	22.79189308	15.91834337	21.63452783
P246	0	0	0	0.873366133	0	0	1.346269643	19.18563666	3.363122338	0	1.989792921	1.664194449
P248	5.589477163	5.514723161	3.241298282	16.59395653	18.70840065	8.562931414	5.385078572	4.796409164	5.044683507	4.883977089	15.91834337	9.985166691
P249	0.621053018	0	0	0	0.813408724	0.856293141	5.385078572	23.98204582	6.726244676	9.767954178	7.959171685	9.985166691
P252	4.968424145	9.453811132	10.53421942	13.97385813	8.134087237	9.419224556	1.346269643	3.19760611	1.681561169	1.627992363	3.979585842	0
P256	0	0	0	0	0.813408724	0	43.08062858	17.5868336	58.85464092	37.44382435	87.55088853	38.27647232
P257	62.72635482	97.6893817	105.3421942	176.4199589	156.9878837	108.749229	82.12244823	65.55092525	100.8936701	73.25965634	105.4590248	84.87391687
P258	49.68424145	61.44977236	173.4094581	17.46732266	332.684168	91.62336613	13.46269643	15.98803055	28.58653987	32.55984726	75.612131	56.58261125
P260	0	1.575635189	1.620649141	0	0.813408724	0	1.346269643	12.79042444	10.08936701	0	5.969378763	1.664194449
P261	3.726318108	0.787817594	2.430973711	7.860295198	8.134087237	19.69474225	4.038808929	3.19760611	13.45248935	3.255984726	5.969378763	3.328388897
P264	0.621053018	7.878175944	10.53421942	1.746732266	4.067043619	0.856293141	0	0	0	0	0	0
P265	0	0	0	0	0	0	13.46269643	17.5868336	21.8602952	13.0239389	15.91834337	13.31355559
P266	1.863159054	2.363452783	2.430973711	1.746732266	0.813408724	1.712586283	4.038808929	9.592818329	0	1.627992363	0	3.328388897
P270	0	0	0	0	0	0	9.423887502	9.592818329	21.8602952	16.27992363	27.8571009	8.320972243
P271	114.8948083	175.6833235	213.115362	72.48938904	119.5710824	269.7323396	130.5881554	362.9282934	369.9434572	110.7034807	222.8568072	161.4268615
P272	126.6948157	123.6873623	193.6675723	360.700213	274.1187399	212.3606991	150.7822	166.2755177	137.8880159	166.055221	280.5608019	231.3230283
P275	0	0	0	0	0	0	5.385078572	15.98803055	11.77092818	1.627992363	5.969378763	3.328388897
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0
